CATEG,,,ALL,,SOURCE,
A,B,C,1,,COCA:1999:MOV The Astonishing Ashtons,  0%:  / 100  that I do n't want Kenny know that I tailed him He'd be not happy Mandy Sally's in her room Only you and I are here Tell me. What's just happened? I was waiting for a blackout I don't know why there came a queer calling but no one spoke Then the TV set played the DVD by itself played the DVD by itself Let me show you the DVD. See A man in this DVD spoke to me... I do n't know what he was talking about! Where's the DVD? It's gone? It was over there
A,B,C,2,,COCA:1999:MOV Outside Providence,"  0%:  / 100  and his friends seemed to be in better spirits around the holidays. Unless you're gon na pay for him, shut the fuck up and let him play his own cards. Just wake up, will you playing with fucking Gomer Pyle over here. He's queer, you know. Who's queer? The Gomer Pyle guy, Jim Gomer Pyle guy, Jim Nabors. Him and that Rock Hudson, they're queers together. Did you go to school on the short bus? Rock Hudson is not queer. Is too, him and that Nabors. He could be"
A,B,C,3,,COCA:1999:MOV Outside Providence,"  0%:  / 100  better spirits around the holidays. Unless you're gon na pay for him, shut the fuck up and let him play his own cards. Just wake up, will you, please? It's like playing . He's queer, you know. Who's queer? The Gomer Pyle guy, Jim Nabors. Him and that Rock Hudson Him and that Rock Hudson, they're queers together. Did you go to school on the short bus? Rock Hudson is not queer. Is too, him and that Nabors. He could be. He's a good singer,"
A,B,C,4,,COCA:1999:MOV Outside Providence,"  0%:  / 100  ? It's like playing with fucking Gomer Pyle over here. He's queer, you know. Who's queer? The Gomer Pyle guy, Jim Nabors. Him and that Rock Hudson, they're queers school on the short bus? Rock Hudson is not queer. Is too, him and that Nabors. He could be. He He could be. He's a good singer, that Nabors. Hey, hey, hey. What, you do n't tell your old man what's going on no more? What are you two knuckleheads doing? Going out."
A,B,C,5,,COCA:1999:MOV The Turn of the Screw,"  0%:  / 100  could n't have done that. Well, nor I. But I have my duty. To the children. Yes. What is he like? Like nobody. Nobody? He has no hat. He has Close curling. And a pale face. And rather queer whiskers. As red as his hair. His eyes are sharp and strange eyes are sharp and strange. He gave me a sense of being a music hall man. I have never seen one but... he was much as I suppose them to be. Tall, active, erect, but not a gentleman"
A,B,C,6,,COCA:1999:MOV The Turn of the Screw,"  0%:  / 100  boldness of mind. No, that I have n't. Miss Jessel left because she was with child? THUNDER And Miles concealed their liaison? He was so small. Some things are natural. Not lying. . PATTER OF FALLING RAIN No wonder you took so queer to that letter. Well, if he's as wicked as they say as wicked as they say, how is he such a cherub now? And Flora, too? I am wondering if it is all part of their deception. Perhaps they communicate with each other. Perhaps every day. And divert our"
A,B,C,7,,COCA:1998:MOV Viewer Discretion Advised,"  0%:  / 100  . Mister, you will remove your ashtray now. Now, Lieutenant, you know if I remove this ashtray as you have Ordered me to do, I would be reinforcing Your delusions of grandeur and perpetuating Your begin by reviewing our last session together? Communist faggot queer pinko bastards. That about sums it up. Let's move on. Let's move on. Now I'd like to try an exercise with you. Push ups? I can do 170 in 39 seconds flat, 494 squat flats. No, it's not that kind of exercise. It's designed"
A,B,C,8,,COCA:1998:MOV Tainted,  0%:  / 100  that I'm a vamp. He's scared of the fact that I'm gay. I ca n't understand that about you guys. You straight men think that if you come within 100 yards Of a gay you'll simply wake up And you'll be a queer. It's just balls. I'll tell you why not. No you why not. No halfway for you. You're not gon na say you're bi or experimenting. You're just... Bi. What a fucking joke. Bisexual people are people that ca n't get their asses Off the fucking
A,B,C,9,,COCA:1998:MOV Apt Pupil,"  0%:  / 100  I foolishly went back. That was a close one. No, none of these. You do n't seem to be in the mood. Today, I will tell you the story of an old man who of a certain young boy who was, in a queer way, his friend. The boy proved to be a very good student be a very good student. But not perhaps in quite the way his mother and his teachers had envisioned. At first, the old man disliked the boy intensely. But then he began to enjoy the boy's company. Of course"
A,B,C,10,,COCA:1998:MOV Sucker,"  0%:  / 100  knew you were druggie. Wait, how do you use when you're petrified of needles? I'm not. You used to pass out when you give a vaccination. No, no I'm not a I'm sorry. Of Course! You're a queer. No, it's okay, Buccholz. I've got nothing against I've got nothing against your kind... as long as they stay away from me. Say, I've got a great joke for you. Why did the queer want to be buried face down? So his friends could stop by"
