,year,words,tokens,per_million
1 ,     1990 ,23707141 ,73 ,3.08
2 ,     1991 ,24047702 ,66 ,2.74
3 ,     1992 ,23803545 ,103 ,4.33
4 ,     1993 ,24545643 ,49 ,2.00
5 ,     1994 ,25002985 ,64 ,2.56
6 ,     1995 ,25649369 ,100 ,3.90
7 ,     1996 ,24585307 ,60 ,2.44
8 ,     1997 ,24644381 ,83 ,3.37
9 ,     1998 ,25037330 ,61 ,2.44
10 ,     1999 ,25293970 ,77 ,3.04
11 ,     2000 ,25095795 ,86 ,3.43
12 ,     2001 ,24446361 ,91 ,3.72
13 ,     2002 ,24798572 ,91 ,3.67
14 ,     2003 ,25185875 ,82 ,3.26
15 ,     2004 ,25097903 ,66 ,2.63
16 ,     2005 ,25130658 ,136 ,5.41
17 ,     2006 ,25064550 ,94 ,3.75
18 ,     2007 ,24690690 ,91 ,3.69
19 ,     2008 ,24082614 ,159 ,6.60
20 ,     2009 ,24082494 ,83 ,3.45
21 ,     2010 ,24082934 ,71 ,2.95
22 ,     2011 ,25636361 ,156 ,6.09
23,     2012,25300000 ,182 ,7.20
24,     2013 ,24280628 ,158 ,6.51
25,     2014 ,24087093 ,140 ,5.81
26,     2015 ,24329627 ,76 ,3.12
27,     2016 ,23695797 ,170 ,7.17
28,     2017 ,24766356 ,323 ,13.04
29,     2018 ,25086641 ,193 ,7.69
30,     2019 ,24934657 ,334 ,13.40
